sentence,tokens,tags,tag_ids,true_idioms,language
"Gleich nach der Begrüßung – sich in das Fauteuil zu setzen, wozu ihm K. einlud, hatte er keine Zeit – bat er K. um ein kurzes Gespräch unter vier Augen.","[""Gleich "", ""nach "", ""der "", ""Begr\u00fc\u00dfung "", ""\u2013 "", ""sich "", ""in "", ""das "", ""Fauteuil "", ""zu "", ""setzen"", "", "", ""wozu "", ""ihm "", ""K. "", ""einlud"", "", "", ""hatte "", ""er "", ""keine "", ""Zeit "", ""\u2013 "", ""bat "", ""er "", ""K. "", ""um "", ""ein "", ""kurzes "", ""Gespr\u00e4ch "", ""unter "", ""vier "", ""Augen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""unter vier Augen""]",german
Sie wohnen ohne Trauschein zusammen.,"[""Sie "", ""wohnen "", ""ohne "", ""Trauschein "", ""zusammen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0]",[],german
"Wir sollten das nicht zwischen Tür und Angel besprechen. Kommen Sie doch morgen früh noch mal in mein Büro, ja?","[""Wir "", ""sollten "", ""das "", ""nicht "", ""zwischen "", ""T\u00fcr "", ""und "", ""Angel "", ""besprechen"", "". "", ""Kommen "", ""Sie "", ""doch "", ""morgen "", ""fr\u00fch "", ""noch "", ""mal "", ""in "", ""mein "", ""B\u00fcro"", "", "", ""ja"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""zwischen T\u00fcr und Angel""]",german
Er schenkte ihr ein offenes Ohr.,"[""Er "", ""schenkte "", ""ihr "", ""ein "", ""offenes "", ""Ohr"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 1, 2, 0]","[""offenes Ohr""]",german
Die Politiker kannste alle in einen Sack stecken und draufhauen – da triffste immer den Richtigen.,"[""Die "", ""Politiker "", ""kannste "", ""alle "", ""in "", ""einen "", ""Sack "", ""stecken "", ""und "", ""draufhauen "", ""\u2013 "", ""da "", ""triffste "", ""immer "", ""den "", ""Richtigen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[""in einen Sack stecken und draufhauen""]",german
Alle Verwaltungen der USA schienen gleichzeitig am Ende der Fahnenstange angelangt. Die Staaten kämpften mit Defiziten in Milliardenhöhe.,"[""Alle "", ""Verwaltungen "", ""der "", ""USA "", ""schienen "", ""gleichzeitig "", ""am "", ""Ende "", ""der "", ""Fahnenstange "", ""angelangt"", "". "", ""Die "", ""Staaten "", ""k\u00e4mpften "", ""mit "", ""Defiziten "", ""in "", ""Milliardenh\u00f6he"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Ende der Fahnenstange""]",german
Vorbereitung ist die halbe Miete.,"[""Vorbereitung "", ""ist "", ""die "", ""halbe "", ""Miete"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 1, 2, 0]","[""halbe Miete""]",german
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,"[""Gegenseitiges "", ""Verstehen "", ""ist "", ""die "", ""halbe "", ""Miete"", ""! "", ""Zum "", ""Thema "", ""Verst\u00e4ndigung "", ""mit "", ""deinem "", ""Welpen "", ""und "", ""somit "", ""auch "", ""mit "", ""deinem "", ""sp\u00e4ter "", ""erwachsenen "", ""Hund "", ""ist "", ""noch "", ""einiges "", ""zu "", ""sagen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""halbe Miete""]",german
"Eine unverwechselbare Position, bei der die CDU Flagge zeigen musste, war das Recht auf Leben. Hier galt es, eindeutig Stellung zu beziehen, ungeachtet dessen, wie die Entscheidung der Mehrheit in unserem Lande ausfiel.","[""Eine "", ""unverwechselbare "", ""Position"", "", "", ""bei "", ""der "", ""die "", ""CDU "", ""Flagge "", ""zeigen "", ""musste"", "", "", ""war "", ""das "", ""Recht "", ""auf "", ""Leben"", "". "", ""Hier "", ""galt "", ""es"", "", "", ""eindeutig "", ""Stellung "", ""zu "", ""beziehen"", "", "", ""ungeachtet "", ""dessen"", "", "", ""wie "", ""die "", ""Entscheidung "", ""der "", ""Mehrheit "", ""in "", ""unserem "", ""Lande "", ""ausfiel"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Flagge zeigen""]",german
Ohne Beute mussten die Täter Fersengeld geben.,"[""Ohne "", ""Beute "", ""mussten "", ""die "", ""T\u00e4ter "", ""Fersengeld "", ""geben"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 1, 2, 0]","[""Fersengeld geben""]",german
Das war eine ganz harmlose Bemerkung. Daraus kann dir niemand einen Strick drehen.,"[""Das "", ""war "", ""eine "", ""ganz "", ""harmlose "", ""Bemerkung"", "". "", ""Daraus "", ""kann "", ""dir "", ""niemand "", ""einen "", ""Strick "", ""drehen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""einen Strick drehen""]",german
Wir haben gequatscht bis in die Puppen / Und vorher gingen wir sinnlos Shoppen,"[""Wir "", ""haben "", ""gequatscht "", ""bis "", ""in "", ""die "", ""Puppen "", ""/ "", ""Und "", ""vorher "", ""gingen "", ""wir "", ""sinnlos "", ""Shoppen""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[""bis in die Puppen""]",german
Die provokante Werbekampagne ist ordentlich ins Auge gegangen.,"[""Die "", ""provokante "", ""Werbekampagne "", ""ist "", ""ordentlich "", ""ins "", ""Auge "", ""gegangen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 1, 2, 2, 0]","[""ins Auge gegangen""]",german
"Völlig ausgeschlossen, daß dieser Mann fünfundzwanzig Jahre nicht Schach gespielt haben soll! Er hat doch jeden Zug, jede Gegenpointe auf fünf, auf sechs Züge vorausberechnet. So etwas kann niemand aus dem Handgelenk. Das ist doch völlig ausgeschlossen – nicht wahr?","[""V\u00f6llig "", ""ausgeschlossen"", "", "", ""da\u00df "", ""dieser "", ""Mann "", ""f\u00fcnfundzwanzig "", ""Jahre "", ""nicht "", ""Schach "", ""gespielt "", ""haben "", ""soll"", ""! "", ""Er "", ""hat "", ""doch "", ""jeden "", ""Zug"", "", "", ""jede "", ""Gegenpointe "", ""auf "", ""f\u00fcnf"", "", "", ""auf "", ""sechs "", ""Z\u00fcge "", ""vorausberechnet"", "". "", ""So "", ""etwas "", ""kann "", ""niemand "", ""aus "", ""dem "", ""Handgelenk"", "". "", ""Das "", ""ist "", ""doch "", ""v\u00f6llig "", ""ausgeschlossen "", ""\u2013 "", ""nicht "", ""wahr"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""aus dem Handgelenk""]",german
"In dem Augenblick verschwand das Schloß, und sie saßen wieder in der alten Hütte. „Nun hast dus,“ sagte der Mann, „jetzt können wir wieder am Hungertuch nagen.“ „Ach,“ sprach die Frau, „ich will den Reichthum lieber nicht, wenn ich nicht weiß von wem er kommt, sonst habe ich doch keine Ruhe.“","[""In "", ""dem "", ""Augenblick "", ""verschwand "", ""das "", ""Schlo\u00df"", "", "", ""und "", ""sie "", ""sa\u00dfen "", ""wieder "", ""in "", ""der "", ""alten "", ""H\u00fctte"", "". "", ""\u201e"", ""Nun "", ""hast "", ""dus"", "","", ""\u201c "", ""sagte "", ""der "", ""Mann"", "", "", ""\u201e"", ""jetzt "", ""k\u00f6nnen "", ""wir "", ""wieder "", ""am "", ""Hungertuch "", ""nagen"", ""."", ""\u201c "", ""\u201e"", ""Ach"", "","", ""\u201c "", ""sprach "", ""die "", ""Frau"", "", "", ""\u201e"", ""ich "", ""will "", ""den "", ""Reichthum "", ""lieber "", ""nicht"", "", "", ""wenn "", ""ich "", ""nicht "", ""wei\u00df "", ""von "", ""wem "", ""er "", ""kommt"", "", "", ""sonst "", ""habe "", ""ich "", ""doch "", ""keine "", ""Ruhe"", ""."", ""\u201c""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""am Hungertuch nagen""]",german
"Aber auch andere Mütter haben schöne Töchter, die sich Honda, Toyota, Souza Cruz, Bandeirante, UOL, GM, Ford, Esso, Fiat, TIM und Pirelli nennen, um nur einige der nichtdeutschen ausländischen Firmen unter den 500 Größten aufzuführen.","[""Aber "", ""auch "", ""andere "", ""M\u00fctter "", ""haben "", ""sch\u00f6ne "", ""T\u00f6chter"", "", "", ""die "", ""sich "", ""Honda"", "", "", ""Toyota"", "", "", ""Souza "", ""Cruz"", "", "", ""Bandeirante"", "", "", ""UOL"", "", "", ""GM"", "", "", ""Ford"", "", "", ""Esso"", "", "", ""Fiat"", "", "", ""TIM "", ""und "", ""Pirelli "", ""nennen"", "", "", ""um "", ""nur "", ""einige "", ""der "", ""nichtdeutschen "", ""ausl\u00e4ndischen "", ""Firmen "", ""unter "", ""den "", ""500 "", ""Gr\u00f6\u00dften "", ""aufzuf\u00fchren"", "".""]","[""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""auch andere M\u00fctter haben sch\u00f6ne T\u00f6chter""]",german
"Wenn du dich verzählst, musst du von vorn anfangen.","[""Wenn "", ""du "", ""dich "", ""verz\u00e4hlst"", "", "", ""musst "", ""du "", ""von "", ""vorn "", ""anfangen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[""von vorn""]",german
Mit uns kannst du wirklich keinen Staat machen.,"[""Mit "", ""uns "", ""kannst "", ""du "", ""wirklich "", ""keinen "", ""Staat "", ""machen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 0]","[""Staat machen""]",german
"Ich habe eine mündliche Zusage, aber ich will noch nichts sagen, bis alles in trockenen Tüchern ist.","[""Ich "", ""habe "", ""eine "", ""m\u00fcndliche "", ""Zusage"", "", "", ""aber "", ""ich "", ""will "", ""noch "", ""nichts "", ""sagen"", "", "", ""bis "", ""alles "", ""in "", ""trockenen "", ""T\u00fcchern "", ""ist"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""in trockenen T\u00fcchern""]",german
"Das Wasserwirtschaftsamt kann auch zum Zuge kommen. Es dauert ziemlich lange, bis das Unternehmen in trockenen Tüchern ist.","[""Das "", ""Wasserwirtschaftsamt "", ""kann "", ""auch "", ""zum "", ""Zuge "", ""kommen"", "". "", ""Es "", ""dauert "", ""ziemlich "", ""lange"", "", "", ""bis "", ""das "", ""Unternehmen "", ""in "", ""trockenen "", ""T\u00fcchern "", ""ist"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""in trockenen T\u00fcchern""]",german
"Immer mit der Ruhe, alter Knabe, schön die Ruhe bewahren, ermahnte ich mich, während ich vom Roller stieg und ihn unangekettet vor dem Hôtel du Palais stehen ließ. Die Sache war noch nicht in trockenen Tüchern.","[""Immer "", ""mit "", ""der "", ""Ruhe"", "", "", ""alter "", ""Knabe"", "", "", ""sch\u00f6n "", ""die "", ""Ruhe "", ""bewahren"", "", "", ""ermahnte "", ""ich "", ""mich"", "", "", ""w\u00e4hrend "", ""ich "", ""vom "", ""Roller "", ""stieg "", ""und "", ""ihn "", ""unangekettet "", ""vor "", ""dem "", ""H\u00f4tel "", ""du "", ""Palais "", ""stehen "", ""lie\u00df"", "". "", ""Die "", ""Sache "", ""war "", ""noch "", ""nicht "", ""in "", ""trockenen "", ""T\u00fcchern"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""in trockenen T\u00fcchern""]",german
"Selbst als in der Nacht von Sonntag auf Montag die beiden Spitzen der Regierung, sichtlich gezeichnet vom Gesprächsmarathon, verkündigten, man habe sich auf ein aktualisiertes Regierungsprogramm einigen können, war der Pakt noch lange nicht in trockenen Tüchern.","[""Selbst "", ""als "", ""in "", ""der "", ""Nacht "", ""von "", ""Sonntag "", ""auf "", ""Montag "", ""die "", ""beiden "", ""Spitzen "", ""der "", ""Regierung"", "", "", ""sichtlich "", ""gezeichnet "", ""vom "", ""Gespr\u00e4chsmarathon"", "", "", ""verk\u00fcndigten"", "", "", ""man "", ""habe "", ""sich "", ""auf "", ""ein "", ""aktualisiertes "", ""Regierungsprogramm "", ""einigen "", ""k\u00f6nnen"", "", "", ""war "", ""der "", ""Pakt "", ""noch "", ""lange "", ""nicht "", ""in "", ""trockenen "", ""T\u00fcchern"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""in trockenen T\u00fcchern""]",german
"Ich habe mich krank gemeldet, weil ich gestern Abend einen über den Durst getrunken habe.","[""Ich "", ""habe "", ""mich "", ""krank "", ""gemeldet"", "", "", ""weil "", ""ich "", ""gestern "", ""Abend "", ""einen "", ""\u00fcber "", ""den "", ""Durst "", ""getrunken "", ""habe"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]","[""\u00fcber den Durst getrunken""]",german
"Pass auf, dass du ihm nicht auf den Schlips trittst.","[""Pass "", ""auf"", "", "", ""dass "", ""du "", ""ihm "", ""nicht "", ""auf "", ""den "", ""Schlips "", ""trittst"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[""auf den Schlips trittst""]",german
"Ich begriff 1963 die Bundesrepublik weder als Zünglein an der Waage noch als amerikanischen Gegenpol, noch als Speerspitze des Kalten Krieges, sondern fand, daß die Bundesrepublik ihren eigenen Part im Konzert des Westens spielen und ihren eigenen Beitrag leisten müsse - jener Verantwortung gemäß, die sie habe und die ihr niemand abnehme.","[""Ich "", ""begriff "", ""1963 "", ""die "", ""Bundesrepublik "", ""weder "", ""als "", ""Z\u00fcnglein "", ""an "", ""der "", ""Waage "", ""noch "", ""als "", ""amerikanischen "", ""Gegenpol"", "", "", ""noch "", ""als "", ""Speerspitze "", ""des "", ""Kalten "", ""Krieges"", "", "", ""sondern "", ""fand"", "", "", ""da\u00df "", ""die "", ""Bundesrepublik "", ""ihren "", ""eigenen "", ""Part "", ""im "", ""Konzert "", ""des "", ""Westens "", ""spielen "", ""und "", ""ihren "", ""eigenen "", ""Beitrag "", ""leisten "", ""m\u00fcsse "", ""- "", ""jener "", ""Verantwortung "", ""gem\u00e4\u00df"", "", "", ""die "", ""sie "", ""habe "", ""und "", ""die "", ""ihr "", ""niemand "", ""abnehme"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Z\u00fcnglein an der Waage""]",german
Ania Fucz kam erst recht spät zum Kickboxen.,"[""Ania "", ""Fucz "", ""kam "", ""erst "", ""recht "", ""sp\u00e4t "", ""zum "", ""Kickboxen"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 0, 0, 0, 0]","[""erst recht""]",german
"Zwei Mädchen in dieser Klasse, Chantel und Andrea, wollen ihren neuen Klassenkameraden Courtney zum Narren halten.","[""Zwei "", ""M\u00e4dchen "", ""in "", ""dieser "", ""Klasse"", "", "", ""Chantel "", ""und "", ""Andrea"", "", "", ""wollen "", ""ihren "", ""neuen "", ""Klassenkameraden "", ""Courtney "", ""zum "", ""Narren "", ""halten"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""zum Narren halten""]",german
"Dies zusammen mit seinen Lebenserfahrungen und Erziehung brachte Birney zu der Erkenntnis, dass die Sklaverei ein für alle Mal abgeschafft werden müsse.","[""Dies "", ""zusammen "", ""mit "", ""seinen "", ""Lebenserfahrungen "", ""und "", ""Erziehung "", ""brachte "", ""Birney "", ""zu "", ""der "", ""Erkenntnis"", "", "", ""dass "", ""die "", ""Sklaverei "", ""ein "", ""f\u00fcr "", ""alle "", ""Mal "", ""abgeschafft "", ""werden "", ""m\u00fcsse"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0]","[""ein f\u00fcr alle Mal""]",german
"Michael Portillo beschrieb seine derzeitige Verwendung, traf den Direktor und blieb über Nacht.","[""Michael "", ""Portillo "", ""beschrieb "", ""seine "", ""derzeitige "", ""Verwendung"", "", "", ""traf "", ""den "", ""Direktor "", ""und "", ""blieb "", ""\u00fcber "", ""Nacht"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],german
"Im Drehbuch wissen wir, wer Mazer Rackham wirklich ist, und wir wissen auch, was auf dem Spiel steht, wenn Ender seine Spiele spielt.","[""Im "", ""Drehbuch "", ""wissen "", ""wir"", "", "", ""wer "", ""Mazer "", ""Rackham "", ""wirklich "", ""ist"", "", "", ""und "", ""wir "", ""wissen "", ""auch"", "", "", ""was "", ""auf "", ""dem "", ""Spiel "", ""steht"", "", "", ""wenn "", ""Ender "", ""seine "", ""Spiele "", ""spielt"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""auf dem Spiel""]",german
